Description,Post Date,Transaction Amount,Transaction Base Type,Transaction Id,Balance,,,,,,,,,,,,,,,,,,,
Shell,5/8/15,82.99,Debit,56391476,567.01,,,,,,,,,,,,,,,,,,,
The Ship,5/8/15,15.62,Debit,56391477,551.39,,,,,,,,,,,,,,,,,,,
The Ship,5/8/15,15.62,Debit,56391478,535.77,,,,,,,,,,,,,,,,,,,
The Ridley arms,5/8/15,404.50,Credit,56391479,940.27,,,,,,,,,,,,,,,,,,,
Topshop,5/9/15,39.99,Debit,56391480,900.28,,,,,,,,,,,,,,,,,,,
Cash,5/9/15,30.00,Debit,56391481,870.28,,,,,,,,,,,,,,,,,,,
Ocado,5/10/15,126.93,Debit,56391482,743.35,,,,,,,,,,,,,,,,,,,
Amazon,5/11/15,21.10,Debit,56391483,722.25,,,,,,,,,,,,,,,,,,,
Porkeys,5/14/15,25.32,Debit,56391484,696.93,,,,,,,,,,,,,,,,,,,
Weatherspoons,5/14/15,19.99,Debit,56391485,676.94,,,,,,,,,,,,,,,,,,,
Strenght power speed,5/15/15,10.00,Debit,56391486,666.94,,,,,,,,,,,,,,,,,,,
The Ridley arms,5/15/15,521.21,Credit,56391487,"1,188.15",,,,,,,,,,,,,,,,,,,
Golf,5/16/15,23.00,Debit,56391488,"1,165.15",,,,,,,,,,,,,,,,,,,
Mannor arms,5/16/15,17.83,Debit,56391489,"1,147.32",,,,,,,,,,,,,,,,,,,
Ocado,5/17/15,135.34,Debit,56391491,"1,011.98",,,,,,,,,,,,,,,,,,,
Amazon,5/20/15,32.10,Debit,56391492,979.88,,,,,,,,,,,,,,,,,,,
Odeon,5/20/15,23.98,Debit,56391493,955.90,,,,,,,,,,,,,,,,,,,
Shell,5/21/15,85.99,Debit,56391494,869.91,,,,,,,,,,,,,,,,,,,
Topshop,5/21/15,39.99,Credit,56391495,909.90,,,,,,,,,,,,,,,,,,,
e.ON,5/22/15,98.21,Debit,56391496,811.69,,,,,,,,,,,,,,,,,,,
Head of steam,5/22/15,23.21,Debit,56391497,788.48,,,,,,,,,,,,,,,,,,,
Amazon R.R.T.I,5/22/15,11.14,Debit,56391498,777.34,,,,,,,,,,,,,,,,,,,
The Ridley arms,5/22/15,410.10,Credit,56391499,"1,187.44",,,,,,,,,,,,,,,,,,,
Sunday,5/23/15,12.12,Debit,56391500,"1,175.32",,,,,,,,,,,,,,,,,,,
Costa richmond,5/23/15,4.43,Debit,56391501,"1,170.89",,,,,,,,,,,,,,,,,,,
Falcons,5/23/15,45.23,Debit,56391502,"1,125.66",,,,,,,,,,,,,,,,,,,
Ocado,5/24/15,112.38,Debit,56391503,"1,013.28",,,,,,,,,,,,,,,,,,,
Tesco,5/29/15,13.41,Debit,56391504,999.87,,,,,,,,,,,,,,,,,,,
Pret,5/29/15,3.30,Debit,56391505,996.57,,,,,,,,,,,,,,,,,,,
Fiverr,5/29/15,62.21,Debit,56391506,934.36,,,,,,,,,,,,,,,,,,,
The Ridley arms,5/29/15,587.99,Credit,56391507,"1,522.35",,,,,,,,,,,,,,,,,,,
Urban outfitter,5/30/15,34.99,Debit,56391508,"1,487.36",,,,,,,,,,,,,,,,,,,
Cash,5/30/15,60.00,Debit,56391509,"1,427.36",,,,,,,,,,,,,,,,,,,
Ocado,5/31/15,119.72,Debit,56391510,"1,307.64",,,,,,,,,,,,,,,,,,,
Amazon,5/31/15,13.11,Debit,56391511,"1,294.53",,,,,,,,,,,,,,,,,,,
Apple,5/31/15,2.12,Debit,56391512,"1,292.41",,,,,,,,,,,,,,,,,,,
Rent,6/1/15,450.00,Debit,56391513,842.41,,,,,,,,,,,,,,,,,,,
THAMES WATER,6/1/15,26.66,Debit,56391514,815.75,,,,,,,,,,,,,,,,,,,
Savings,6/2/15,50.00,Debit,56391515,765.75,,,,,,,,,,,,,,,,,,,
