Description,Post Date,Transaction Amount,Transaction Base Type,Transaction Id,Balance,,
"5620 29MAY10 , THE BROOK INN , PLYMOUTH GB - POS",6/1/10,15.30,Debit,123456,"1,984.70",,
"SAVING, FP 01/06/10 30 , 08025215156089000N - S/O",6/1/10,100.00,Debit,123457,"1,884.70",,
"5620 31MAY10 , THE TYNE , NEWCASTLE UPO GB - POS",6/1/10,20.00,Debit,123458,"1,864.70",,
HSBC 30MAY - ATM,6/1/10,50.00,Debit,123459,"1,814.70",,
JJB FITNESS CLUB - D/D,6/1/10,37.00,Debit,123460,"1,777.70",,
CO-OPERATIVE 30MAY - ATM,6/1/10,40.00,Debit,123461,"1,737.70",,
"5620 01JUN10 , SAINSBURYS SMKT , HEATON GB - POS",6/2/10,42.32,Debit,123462,"1,695.38",,
"MYATT , FP 02/06/10 30 , 23023358819359000N - S/O",6/2/10,100.00,Debit,123463,"1,595.38",,
"5620 01JUN10 , PRIMARK , NEWCASTLE UPO GB - POS",6/3/10,13.00,Debit,123464,"1,582.38",,
PAYMENT 2 EGG CARD - D/D,6/3/10,188.92,Debit,123465,"1,393.46",,
"5620 03JUN10 , AMAZON *MKTPLCE , EU-UK , AMAZON.CO.UK LU - POS",6/4/10,7.31,Debit,123466,"1,386.15",,
"5620 03JUN10 , AMAZON *MKTPLCE , EU-UK , AMAZON.CO.UK LU - POS",6/4/10,3.53,Debit,123467,"1,382.62",,
O2 - D/D,6/4/10,35.05,Debit,123468,"1,347.57",,
"5620 05JUN10 , BELL INSURANCE , CARDIFF GB - POS",6/7/10,611.30,Debit,123469,736.27,,
"5620 05JUN10 , MR LYNCH , NEWCASTLE GB - POS",6/7/10,10.00,Debit,123470,726.27,,
HSBC 08JUN - ATM,6/8/10,30.00,Debit,123471,696.27,,
"5620 07JUN10 , ROCK , CAMBRIDGE GB - POS",6/9/10,11.34,Debit,123472,684.93,,
10JUN GRS 24947318 - INT,6/11/10,0.22,Credit,123473,685.15,,
"5620 13JUN10 , ASDA SUPERSTORE , GOSFORTH GB - POS",6/14/10,23.06,Debit,123474,662.09,,
"CALL REF.NO. 0097 , MR J E MYATT - OTR",6/14/10,976.32,Debit,123475,-314.23,,
NATWEST 12JUN - ATM,6/14/10,40.00,Debit,123476,-354.23,,
YORKSHIREBNK 17JUN - ATM,6/18/10,20.00,Debit,123477,-374.23,,
LLOYDS BANK 19JUN - ATM,6/21/10,30.00,Debit,123478,-404.23,,
"5620 19JUN10 , BP SNAX 24 BYKER , 797 , NEWCASTLE UPO GB - POS",6/21/10,51.02,Debit,123479,-455.25,,
"5620 19JUN10 , ITUNES-GBP , LONDON GB - POS",6/21/10,0.59,Debit,123480,-455.84,,
"5620 19JUN10 , PARKLANDS , NEWCASTLE UPO GB - POS",6/21/10,28.00,Debit,123481,-483.84,,
"5620 19JUN10 , W M MORRISON PLC , NEWCASTLE UPO GB - POS",6/21/10,16.34,Debit,123482,-500.18,,
"0224 22JUN10 0000 , AMAZON EU , AMAZON.CO.UK - POS",6/23/10,80.19,Debit,123483,-580.37,,
WOOD HOLMES GRP LT - BAC,6/25/10,"1,348.73",Credit,123484,768.36,,
"5620 24JUN10 , EC MAINLINE OTS , NEWCASTLE GB - POS",6/25/10,69.05,Debit,123485,699.31,,
"5620 24JUN10 , EC MAINLINE OTS , NEWCASTLE GB , REFUND - POS",6/25/10,68.40,Credit,123486,767.71,,
ABBEYNATIONL 25JUN - ATM,6/25/10,50.00,Debit,123487,717.71,,
"5620 24JUN10 , EC MAINLINE CO SST, NEWCASTLE UPO GB - POS",6/25/10,68.40,Debit,123488,649.31,,
"5620 25JUN10 , NEW SOUTHERN RAILW, LND SW1V 5973 GB - POS",6/28/10,12.00,Debit,123489,637.31,,
"5620 25JUN10 , BOOTS 0810 , EUSTON STATIO GB - POS",6/28/10,7.58,Debit,123490,629.73,,
"5620 25JUN10 , THE FELLOW , LONDON GB - POS",6/28/10,11.50,Debit,123491,618.23,,
"5620 25JUN10 , MASSALA HUT , LONDON GB - POS",6/28/10,19.05,Debit,123492,599.18,,
"5620 24JUN10 , SCHUH LTD , NEWCASTLE UPO GB - POS",6/28/10,35.00,Debit,123493,564.18,,
"5620 25JUN10 , TFL MFM , EUSTON GB - POS",6/28/10,20.00,Debit,123494,544.18,,
"5620 26JUN10 , TESCO STORES , HAMPSTEAD GB - POS",6/28/10,11.85,Debit,123495,532.33,,
JJB FITNESS CLUB - D/D,7/1/10,37.00,Debit,123496,495.33,,
"SAVING, FP 01/07/10 30 , 11024239088591000N - S/O",7/1/10,100.00,Debit,123497,395.33,,
CARPHONE WAREHOUSE - D/D,7/1/10,35.95,Debit,123498,359.38,,
"MYATT , FP 02/07/10 30 , 58023434009287000N - S/O",7/2/10,100.00,Debit,123499,259.38,,
BARCLAYS BNK 02JUL - ATM,7/5/10,40.00,Debit,123500,219.38,,
"5620 02JUL10 , REHILLS , JESMOND GB - POS",7/5/10,11.20,Debit,123501,208.18,,
"5620 03JUL10 , B &amp; Q , WALLSEND GB - POS",7/5/10,12.98,Debit,123502,195.20,,
"5620 03JUL10 , TESCO STORES 2917 , NEWCASTLE U/T GB - POS",7/5/10,15.20,Debit,123503,180.00,,
"5620 03JUL10 , HOMEBASE LTD 652 , NEWCASTLE UPO GB - POS",7/5/10,25.99,Debit,123504,154.01,,
ROYAL BANK 04JUL - ATM,7/5/10,30.00,Debit,123505,124.01,,
PAYMENT 2 EGG CARD - D/D,7/5/10,10.71,Debit,123506,113.30,,
O2 - D/D,7/5/10,35.12,Debit,123507,78.18,,
"5620 07JUL10 , NEW SOUTHERN RAILW, HORLEY 9132 GB - POS",7/8/10,9.30,Debit,123508,68.88,,
"5620 08JUL10 , TFL MFM , KINGS CROSS ( GB - POS",7/9/10,10.00,Debit,123509,58.88,,
"5620 08JUL10 , SAINSBURYS SMKT , WARREN STREET GB - POS",7/9/10,3.00,Debit,123510,55.88,,
"5620 08JUL10 , COSTCUTTER , LONDON GB - POS",7/9/10,7.18,Debit,123511,48.70,,
NATIONWIDE 09JUL - ATM,7/9/10,30.00,Debit,123512,18.70,,
"5620 08JUL10 , MCDONALDS REST , KINGS CROSS 1 GB - POS",7/9/10,3.19,Debit,123513,15.51,,
11JUL GRS 24885126 - INT,7/12/10,0.01,Credit,123514,15.52,,
"5620 10JUL10 , TESCO STORES 5518 , LONDON GB - POS",7/12/10,13.80,Debit,123515,1.72,,
"5620 09JUL10 , TESCO STORES SACAT, LONDON GB - POS",7/12/10,10.64,Debit,123516,-8.92,,
11JUL GRS 24947318 - INT,7/12/10,0.13,Credit,123517,-8.79,,
"5620 09JUL10 , STAGECOACH SOUTH W, LONDON SE1 GB - POS",7/12/10,37.60,Debit,123518,-46.39,,
"5620 10JUL10 , WATERSTONES , GOWER ST LOND GB - POS",7/12/10,18.98,Debit,123519,-65.37,,
