Description,Post Date,Transaction Amount,Transaction Base Type,Transaction Id,Balance,,,,,,,,
"4113 28FEB11 , AMAZON *MKTPLCE , EU-UK , AMAZON.CO.UK LU - POS",3/1/11,38.94,Debit,123456,"1,961.06",,,,,,,,
"4113 28FEB11 , TESCO STORES 2722 , EUSTON GB - POS",3/1/11,7.09,Debit,123457,"1,953.97",,,,,,,,
"4113 28FEB11 , AMAZON EU , AMAZON.CO.UK LU - POS",3/1/11,14.42,Debit,123458,"1,939.55",,,,,,,,
SKY DIGITAL - D/D,3/1/11,21.25,Debit,123459,"1,918.30",,,,,,,,
"PETER MYATT SAVING, FP 01/03/11 30 , 47024311883619000N - S/O",3/1/11,350.00,Debit,123460,"1,568.30",,,,,,,,
"4113 01MAR11 , SAINSBURYS SUPERMA, GREAT PORTLAN GB - POS",3/2/11,5.25,Debit,123461,"1,563.05",,,,,,,,
"RICHARD MYATT , FP 02/03/11 30 , 17023348634355000N - S/O",3/2/11,100.00,Debit,123462,"1,463.05",,,,,,,,
10FEB A/C 24947318 - INT,3/3/11,1.45,Debit,123463,"1,461.60",,,,,,,,
HSBC 03MAR - ATM,3/4/11,20.00,Debit,123464,"1,441.60",,,,,,,,
"4113 05MAR11 , BISON &amp; BIRD , LONDON GB - POS",3/7/11,16.60,Debit,123465,"1,425.00",,,,,,,,
"4113 05MAR11 , BE AT ONE , LONDON SW4 GB - POS",3/7/11,25.50,Debit,123466,"1,399.50",,,,,,,,
"4113 05MAR11 , TESCO METRO 2299 , COVENT GARDEN GB - POS",3/7/11,2.14,Debit,123467,"1,397.36",,,,,,,,
SANTANDER 06MAR - ATM,3/7/11,30.00,Debit,123468,"1,367.36",,,,,,,,
PAYMENT 2 EGG CARD - D/D,3/7/11,9.66,Debit,123469,"1,357.70",,,,,,,,
"4113 03MAR11 , MEANTIME BREWING , COMPA , LONDON SE10 GB - POS",3/7/11,18.95,Debit,123470,"1,338.75",,,,,,,,
"4113 09MAR11 , SACAT SAINSBURYS , LONDON 4920 GB - POS",3/10/11,3.00,Debit,123471,"1,335.75",,,,,,,,
TIM PROBERTWOOD - S/O,3/10/11,808.34,Debit,123472,527.41,,,,,,,,
"4113 10MAR11 , PRET A MANGER , 27/28 GREAT M GB - POS",3/11/11,4.19,Debit,123473,523.22,,,,,,,,
"4113 10MAR11 , TESCO STORES 2722 , EUSTON GB - POS",3/11/11,4.55,Debit,123474,518.67,,,,,,,,
"4113 12MAR11 , PUTNEY FEZ , LONDON GB - POS",3/14/11,19.55,Debit,123475,499.12,,,,,,,,
"4113 11MAR11 , MUSHU , LONDON GB - POS",3/14/11,8.55,Debit,123476,490.57,,,,,,,,
"4113 12MAR11 , SAINSBURYS SUPERMA, QUEENS PARK GB - POS",3/14/11,6.33,Debit,123477,484.24,,,,,,,,
"4113 13MAR11 , COSTA COFFEE , CAMBRIDGE GB - POS",3/14/11,5.50,Debit,123478,478.74,,,,,,,,
"4113 11MAR11 , BUCKINGHAM ARMS , LONDON GB - POS",3/14/11,17.51,Debit,123479,461.23,,,,,,,,
BARCLAYS BNK 13MAR - ATM,3/14/11,30.00,Debit,123480,431.23,,,,,,,,
