"","date","x"
"1",2010-09-01,"2862"
"2",2010-09-02,"2689.27"
"3",2010-09-03,"2565.43"
"57",2010-09-04,"2565.43"
"58",2010-09-05,"2565.43"
"4",2010-09-06,"2099.83"
"5",2010-09-07,"2089.83"
"6",2010-09-08,"1707.63"
"59",2010-09-09,"1707.63"
"7",2010-09-10,"1690.7"
"60",2010-09-11,"1690.7"
"61",2010-09-12,"1690.7"
"8",2010-09-13,"1495.32"
"9",2010-09-14,"1456.6"
"10",2010-09-15,"1426.6"
"11",2010-09-16,"1087.28"
"12",2010-09-17,"1067.18"
"62",2010-09-18,"1067.18"
"63",2010-09-19,"1067.18"
"13",2010-09-20,"998.13"
"14",2010-09-21,"900.68"
"15",2010-09-22,"865.88"
"64",2010-09-23,"865.88"
"16",2010-09-24,"783.88"
"65",2010-09-25,"783.88"
"66",2010-09-26,"783.88"
"17",2010-09-27,"656.68"
"18",2010-09-28,"648.79"
"67",2010-09-29,"648.79"
"19",2010-09-30,"638.29"
"20",2010-10-01,"497.94"
"68",2010-10-02,"497.94"
"69",2010-10-03,"497.94"
"21",2010-10-04,"283.95"
"22",2010-10-05,"2643.02"
"70",2010-10-06,"2643.02"
"23",2010-10-07,"2613.02"
"71",2010-10-08,"2613.02"
"72",2010-10-09,"2613.02"
"73",2010-10-10,"2613.02"
"24",2010-10-11,"2404.93"
"25",2010-10-12,"2319.32"
"74",2010-10-13,"2319.32"
"26",2010-10-14,"2167.53"
"27",2010-10-15,"2117.45"
"75",2010-10-16,"2117.45"
"76",2010-10-17,"2117.45"
"28",2010-10-18,"1982.86"
"29",2010-10-19,"1949.32"
"30",2010-10-20,"2413.48"
"31",2010-10-21,"2378.48"
"32",2010-10-22,"2388.47"
"77",2010-10-23,"2388.47"
"78",2010-10-24,"2388.47"
"33",2010-10-25,"2217.96"
"34",2010-10-26,"2176.81"
"35",2010-10-27,"2147.84"
"36",2010-10-28,"3983.16"
"37",2010-10-29,"3975.77"
"79",2010-10-30,"3975.77"
"80",2010-10-31,"3975.77"
"38",2010-11-01,"3676.71"
"39",2010-11-02,"3425.93"
"40",2010-11-03,"2504.93"
"81",2010-11-04,"2504.93"
"41",2010-11-05,"2486.58"
"82",2010-11-06,"2486.58"
"83",2010-11-07,"2486.58"
"42",2010-11-08,"2264.12"
"43",2010-11-09,"2231.73"
"44",2010-11-10,"1360.34"
"45",2010-11-11,"1335.41"
"46",2010-11-12,"1306.41"
"84",2010-11-13,"1306.41"
"85",2010-11-14,"1306.41"
"47",2010-11-15,"935.83"
"48",2010-11-16,"910.03"
"86",2010-11-17,"910.03"
"49",2010-11-18,"841.05"
"50",2010-11-19,"631.78"
"87",2010-11-20,"631.78"
"88",2010-11-21,"631.78"
"51",2010-11-22,"625.41"
"52",2010-11-23,"560.66"
"89",2010-11-24,"560.66"
"53",2010-11-25,"510.66"
"54",2010-11-26,"470.66"
"90",2010-11-27,"470.66"
"91",2010-11-28,"470.66"
"55",2010-11-29,"2616.28"
"56",2010-11-30,"2565.13"
