@relation balanceforcasting

@attribute PostDate DATE “m/d/yy”
@attribute Balance numeric

@data
9/1/10,2862
9/2/10,2689.27
9/3/10,2565.43
9/4/10,2565.43
9/5/10,2565.43
9/6/10,2099.83
9/7/10,2089.83
9/8/10,1707.63
9/9/10,1707.63
9/10/10,1690.7
9/11/10,1690.7
9/12/10,1690.7
9/13/10,1495.32
9/14/10,1456.6
9/15/10,1426.6
9/16/10,1087.28
9/17/10,1067.18
9/18/10,1067.18
9/19/10,1067.18
9/20/10,998.13
9/21/10,900.68
9/22/10,865.88
9/23/10,865.88
9/24/10,783.88
9/25/10,783.88
9/26/10,783.88
9/27/10,656.68
9/28/10,648.79
9/29/10,648.79
9/30/10,638.29
10/1/10,497.94
10/2/10,497.94
10/3/10,497.94
10/4/10,283.95
10/5/10,2643.02
10/6/10,2643.02
10/7/10,2613.02
10/8/10,2613.02
10/9/10,2613.02
10/10/10,2613.02
10/11/10,2404.93
10/12/10,2319.32
10/13/10,2319.32
10/14/10,2167.53
10/15/10,2117.45
10/16/10,2117.45
10/17/10,2117.45
10/18/10,1982.86
10/19/10,1949.32
10/20/10,2413.48
10/21/10,2378.48
10/22/10,2388.47
10/23/10,2388.47
10/24/10,2388.47
10/25/10,2217.96
10/26/10,2176.81
10/27/10,2147.84
10/28/10,3983.16
10/29/10,3975.77
10/30/10,3975.77
10/31/10,3975.77
11/1/10,3676.71
11/2/10,3425.93
11/3/10,2504.93
11/4/10,2504.93
11/5/10,2486.58
11/6/10,2486.58
11/7/10,2486.58
11/8/10,2264.12
11/9/10,2231.73
11/10/10,1360.34
11/11/10,1335.41
11/12/10,1306.41
11/13/10,1306.41
11/14/10,1306.41
11/15/10,935.83
11/16/10,910.03
11/17/10,910.03
11/18/10,841.05
11/19/10,631.78
11/20/10,631.78
11/21/10,631.78
11/22/10,625.41
11/23/10,560.66
11/24/10,560.66
11/25/10,510.66
11/26/10,470.66
11/27/10,470.66
11/28/10,470.66
11/29/10,2616.28
11/30/10,2565.13
