"","date","x"
"1",2010-06-01,"1,737.70"
"2",2010-06-02,"1,595.38"
"3",2010-06-03,"1,393.46"
"4",2010-06-04,"1,347.57"
"49",2010-06-05,"1,347.57"
"50",2010-06-06,"1,347.57"
"5",2010-06-07,"726.27"
"6",2010-06-08,"696.27"
"7",2010-06-09,"684.93"
"51",2010-06-10,"684.93"
"8",2010-06-11,"685.15"
"52",2010-06-12,"685.15"
"53",2010-06-13,"685.15"
"9",2010-06-14,"-354.23"
"54",2010-06-15,"-354.23"
"55",2010-06-16,"-354.23"
"56",2010-06-17,"-354.23"
"10",2010-06-18,"-374.23"
"57",2010-06-19,"-374.23"
"58",2010-06-20,"-374.23"
"11",2010-06-21,"-500.18"
"59",2010-06-22,"-500.18"
"12",2010-06-23,"-580.37"
"60",2010-06-24,"-580.37"
"13",2010-06-25,"649.31"
"61",2010-06-26,"649.31"
"62",2010-06-27,"649.31"
"14",2010-06-28,"532.33"
"63",2010-06-29,"532.33"
"64",2010-06-30,"532.33"
"15",2010-07-01,"359.38"
"16",2010-07-02,"259.38"
"65",2010-07-03,"259.38"
"66",2010-07-04,"259.38"
"17",2010-07-05,"78.18"
"67",2010-07-06,"78.18"
"68",2010-07-07,"78.18"
"18",2010-07-08,"68.88"
"19",2010-07-09,"15.51"
"69",2010-07-10,"15.51"
"70",2010-07-11,"15.51"
"20",2010-07-12,"-106.81"
"21",2010-07-13,"-120.43"
"22",2010-07-14,"406.90"
"23",2010-07-15,"374.46"
"24",2010-07-16,"334.46"
"71",2010-07-17,"334.46"
"72",2010-07-18,"334.46"
"25",2010-07-19,"206.25"
"26",2010-07-20,"137.28"
"27",2010-07-21,"19.18"
"73",2010-07-22,"19.18"
"74",2010-07-23,"19.18"
"75",2010-07-24,"19.18"
"76",2010-07-25,"19.18"
"28",2010-07-26,"-57.31"
"29",2010-07-27,"-99.31"
"30",2010-07-28,"-123.61"
"31",2010-07-29,"1,225.12"
"77",2010-07-30,"1,225.12"
"78",2010-07-31,"1,225.12"
"79",2010-08-01,"1,225.12"
"32",2010-08-02,"954.92"
"33",2010-08-03,"887.26"
"34",2010-08-04,"789.32"
"80",2010-08-05,"789.32"
"35",2010-08-06,"779.23"
"81",2010-08-07,"779.23"
"82",2010-08-08,"779.23"
"36",2010-08-09,"682.14"
"37",2010-08-10,"613.09"
"38",2010-08-11,"613.26"
"83",2010-08-12,"613.26"
"39",2010-08-13,"584.26"
"84",2010-08-14,"584.26"
"85",2010-08-15,"584.26"
"40",2010-08-16,"539.91"
"41",2010-08-17,"523.84"
"86",2010-08-18,"523.84"
"42",2010-08-19,"438.51"
"43",2010-08-20,"388.23"
"87",2010-08-21,"388.23"
"88",2010-08-22,"388.23"
"89",2010-08-23,"388.23"
"44",2010-08-24,"348.23"
"45",2010-08-25,"304.49"
"46",2010-08-26,"-600.16"
"47",2010-08-27,"1,892.79"
"90",2010-08-28,"1,892.79"
"91",2010-08-29,"1,892.79"
"92",2010-08-30,"1,892.79"
"48",2010-08-31,"1,715.62"
