@relation Timestamps

@attribute PostDate DATE “MM-dd-yyyy”
@attribute TransactionAmount numeric
@attribute Balance numeric


@data
5-8-2015,5.50,1494.50
5-8-2015,6.72,1487.78
5-8-2015,15.62,1472.16
5-8-2015,15.62,1456.54
5-9-2015,12.21,1444.33
5-9-2015,8.42,1435.91
5-9-2015,39.99,1395.92
5-9-2015,30.00,1365.92
5-9-2015,3.20,1362.72
5-10-2015,126.93,1235.79
5-11-2015,5.50,1230.29
5-11-2015,13.20,1217.09
5-11-2015,5.52,1211.57
5-11-2015,21.10,1190.47
5-11-2015,6.72,1183.75
5-12-2015,5.50,1178.25
5-12-2015,6.72,1171.53
5-13-2015,5.50,1166.03
5-13-2015,6.72,1159.31
5-14-2015,5.50,1153.81
5-14-2015,6.72,1147.09
5-14-2015,25.32,1121.77
5-14-2015,19.99,1101.78
5-15-2015,5.50,1096.28
5-15-2015,6.72,1089.56
5-15-2015,10.00,1079.56
5-16-2015,52.10,1027.46
5-16-2015,22.32,1005.14
5-16-2015,23.00,982.14
5-16-2015,17.83,964.31
5-16-2015,48.22,916.09
5-17-2015,12.22,903.87
5-17-2015,135.34,768.53
5-18-2015,5.50,763.03
5-19-2015,5.50,757.53
5-20-2015,5.50,752.03
5-20-2015,32.10,719.93
5-20-2015,23.98,695.95
5-21-2015,8.50,687.45
5-21-2015,39.99,727.44
5-22-2015,5.50,721.94
5-22-2015,98.21,623.73
5-22-2015,23.21,600.52
5-22-2015,11.14,589.38
5-23-2015,12.12,577.26
5-23-2015,4.43,572.83
5-23-2015,45.23,527.60
5-24-2015,112.38,415.22
5-24-2015,55.88,359.34
5-25-2015,5.50,353.84
5-25-2015,5.50,348.34
5-26-2015,5.50,342.84
5-26-2015,3.30,339.54
5-27-2015,5.50,334.04
5-27-2015,8.20,325.84
5-28-2015,5.50,320.34
5-28-2015,5.54,314.80
5-29-2015,5.50,309.30
5-29-2015,13.41,295.89
5-29-2015,3.30,292.59
5-29-2015,62.21,230.38
5-29-2015,3564.00,3794.38
5-30-2015,34.99,3759.39
5-30-2015,120.00,3639.39
5-31-2015,119.72,3519.67
5-31-2015,13.11,3506.56
5-31-2015,2.12,3504.44
6-1-2015,850.00,2654.44
6-1-2015,26.66,2627.78
6-1-2015,5.50,2622.28
6-1-2015,5.49,2616.79
6-2-2015,200.00,2416.79
6-2-2015,5.50,2411.29
6-2-2015,5.49,2405.80
6-3-2015,42.00,2363.80
6-3-2015,87.33,2276.47
6-3-2015,5.50,2270.97
6-3-2015,5.49,2265.48
6-4-2015,37.50,2227.98
6-4-2015,55.00,2172.98
6-4-2015,5.50,2167.48
6-4-2015,5.49,2161.99
6-4-2015,80.00,2081.99
6-6-2015,10.00,2071.99
6-6-2015,13.41,2058.58
6-7-2015,131.09,1927.49
6-8-2015,5.50,1921.99
6-8-2015,6.99,1915.00
6-9-2015,5.50,1909.50
6-9-2015,6.99,1902.51
6-10-2015,5.50,1897.01
6-10-2015,5.49,1891.52
6-11-2015,5.50,1886.02
6-11-2015,6.99,1879.03
6-12-2015,5.50,1873.53
6-12-2015,5.20,1868.33
6-13-2015,689.00,1179.33
6-13-2015,5.99,1173.34
6-13-2015,15.88,1157.46
6-13-2015,20.99,1136.47
6-13-2015,55.99,1080.48
6-14-2015,122.22,958.26
6-14-2015,12.43,945.83
6-15-2015,5.50,940.33
6-15-2015,4.99,935.34
6-15-2015,12.12,923.22
6-16-2015,5.50,917.72
6-16-2015,4.99,912.73
6-17-2015,5.50,907.23
6-17-2015,4.99,902.24
6-18-2015,5.50,896.74
6-18-2015,4.99,891.75
6-19-2015,5.50,886.25
6-19-2015,4.99,881.26
6-19-2015,9.99,871.27
6-20-2015,8.99,862.28
6-20-2015,60.60,801.68
6-20-2015,30.63,771.05
6-20-2015,80.25,690.80
6-21-2015,100.00,590.80
6-21-2015,183.00,407.80
6-22-2015,98.21,309.59
6-23-2015,90.42,219.17
6-25-2015,4.99,214.18
6-26-2015,5.50,208.68
6-26-2015,5.49,203.19
6-26-2015,10.00,193.19
6-26-2015,3564.00,3757.19
6-27-2015,2.40,3754.79
6-27-2015,8.99,3745.80
6-27-2015,12.99,3732.81
6-27-2015,9.99,3722.82
6-28-2015,112.78,3610.04
6-28-2015,2.40,3607.64
6-28-2015,45.76,3561.88
6-29-2015,5.50,3556.38
6-29-2015,5.99,3550.39
6-30-2015,5.50,3544.89
6-30-2015,5.99,3538.90
7-1-2015,5.50,3533.40
7-1-2015,5.99,3527.41
7-1-2015,26.66,3500.75
7-1-2015,850.00,2650.75
7-2-2015,5.50,2645.25
7-2-2015,5.99,2639.26
7-2-2015,200.00,2439.26
7-3-2015,5.50,2433.76
7-3-2015,5.99,2427.77
7-3-2015,42.00,2385.77
7-3-2015,5.00,2380.77
7-3-2015,87.33,2293.44
7-4-2015,43.26,2250.18
7-4-2015,55.00,2195.18
7-4-2015,5.50,2189.68
7-4-2015,15.00,2174.68
7-5-2015,112.21,2062.47
7-6-2015,5.50,2056.97
7-7-2015,5.50,2051.47
7-7-2015,4.99,2046.48
7-8-2015,5.50,2040.98
7-8-2015,5.29,2035.69
7-8-2015,12.99,2022.70
7-9-2015,5.50,2017.20
7-9-2015,5.00,2012.20
7-9-2015,12.99,1999.21
7-10-2015,5.50,1993.71
7-10-2015,7.75,1985.96
7-10-2015,120.00,2105.96
7-10-2015,92.00,2013.96
7-10-2015,5.50,2008.46
7-12-2015,5.50,2002.96
7-12-2015,15.87,1987.09
7-12-2015,112.31,1874.78
7-13-2015,5.50,1869.28
7-13-2015,5.50,1863.78
7-13-2015,114.00,1749.78
7-14-2015,5.50,1744.28
7-14-2015,5.50,1738.78
7-15-2015,5.50,1733.28
7-15-2015,5.49,1727.79
7-16-2015,5.50,1722.29
7-16-2015,5.49,1716.80
7-16-2015,3.99,1712.81
7-16-2015,116.55,1596.26
7-17-2015,5.50,1590.76
7-17-2015,3.50,1587.26
7-17-2015,22.21,1565.05
7-17-2015,120.00,1445.05
7-19-2015,32.00,1413.05
7-19-2015,350.00,1063.05
7-19-2015,5.30,1057.75
7-22-2015,98.21,959.54
7-25-2015,5.30,954.24
7-26-2015,113.24,841.00
7-27-2015,5.50,835.50
7-27-2015,4.99,830.51
7-27-2015,23.22,807.29
7-28-2015,5.50,801.79
7-28-2015,4.99,796.80
7-28-2015,41.24,755.56
7-29-2015,5.50,750.06
7-29-2015,5.49,744.57
7-30-2015,5.50,739.07
7-30-2015,5.49,733.58
7-31-2015,5.50,728.08
7-31-2015,5.99,722.09
7-31-2015,3564.00,4286.09
7-31-2015,24.11,4261.98
7-31-2015,15.00,4246.98
8-1-2015,45.00,4201.98
8-1-2015,850.00,3351.98
8-1-2015,26.66,3325.32
8-1-2015,41.99,3283.33
8-1-2015,32.99,3250.34
8-2-2015,41.23,3209.11
8-2-2015,121.87,3087.24
8-2-2015,200.00,2887.24
8-3-2015,5.50,2881.74
8-3-2015,5.49,2876.25
8-3-2015,42.00,2834.25
8-4-2015,5.50,2828.75
8-4-2015,5.49,2823.26
8-4-2015,68.25,2755.01
8-4-2015,55.00,2700.01
8-4-2015,15.46,2684.55
8-4-2015,87.33,2597.22
8-5-2015,5.50,2591.72
8-5-2015,5.49,2586.23
8-5-2015,21.73,2564.50
8-6-2015,5.50,2559.00
8-6-2015,5.99,2553.01
8-7-2015,5.50,2547.51
8-7-2015,6.89,2540.62
8-7-2015,12.37,2528.25
8-7-2015,10.00,2518.25
