@relation Timestamps
@attribute PostDate DATE “yyyy.MM.dd”
@attribute TransactionAmount numeric
@attribute Balance numeric
@data
"2015.05.08",5.5,1494.5
"2015.05.08",6.72,1487.78
"2015.05.08",15.62,1472.16
"2015.05.08",15.62,1456.54
"2015.05.09",12.21,1444.33
"2015.05.09",8.42,1435.91
"2015.05.09",39.99,1395.92
"2015.05.09",30,1365.92
"2015.05.09",3.2,1362.72
"2015.05.10",126.93,1235.79
"2015.05.11",5.5,1230.29
"2015.05.11",13.2,1217.09
"2015.05.11",5.52,1211.57
"2015.05.11",21.1,1190.47
"2015.05.11",6.72,1183.75
"2015.05.12",5.5,1178.25
"2015.05.12",6.72,1171.53
"2015.05.13",5.5,1166.03
"2015.05.13",6.72,1159.31
"2015.05.14",5.5,1153.81
"2015.05.14",6.72,1147.09
"2015.05.14",25.32,1121.77
"2015.05.14",19.99,1101.78
"2015.05.15",5.5,1096.28
"2015.05.15",6.72,1089.56
"2015.05.15",10,1079.56
"2015.05.16",52.1,1027.46
"2015.05.16",22.32,1005.14
"2015.05.16",23,982.14
"2015.05.16",17.83,964.31
"2015.05.16",48.22,916.09
"2015.05.17",12.22,903.87
"2015.05.17",135.34,768.53
"2015.05.18",5.5,763.03
"2015.05.19",5.5,757.53
"2015.05.20",5.5,752.03
"2015.05.20",32.1,719.93
"2015.05.20",23.98,695.95
"2015.05.21",8.5,687.45
"2015.05.21",39.99,727.44
"2015.05.22",5.5,721.94
"2015.05.22",98.21,623.73
"2015.05.22",23.21,600.52
"2015.05.22",11.14,589.38
"2015.05.23",12.12,577.26
"2015.05.23",4.43,572.83
"2015.05.23",45.23,527.6
"2015.05.24",112.38,415.22
"2015.05.24",55.88,359.34
"2015.05.25",5.5,353.84
"2015.05.25",5.5,348.34
"2015.05.26",5.5,342.84
"2015.05.26",3.3,339.54
"2015.05.27",5.5,334.04
"2015.05.27",8.2,325.84
"2015.05.28",5.5,320.34
"2015.05.28",5.54,314.8
"2015.05.29",5.5,309.3
"2015.05.29",13.41,295.89
"2015.05.29",3.3,292.59
"2015.05.29",62.21,230.38
"2015.05.29",3564,3794.38
"2015.05.30",34.99,3759.39
"2015.05.30",120,3639.39
"2015.05.31",119.72,3519.67
"2015.05.31",13.11,3506.56
"2015.05.31",2.12,3504.44
"2015.06.01",850,2654.44
"2015.06.01",26.66,2627.78
"2015.06.01",5.5,2622.28
"2015.06.01",5.49,2616.79
"2015.06.02",200,2416.79
"2015.06.02",5.5,2411.29
"2015.06.02",5.49,2405.8
"2015.06.03",42,2363.8
"2015.06.03",87.33,2276.47
"2015.06.03",5.5,2270.97
"2015.06.03",5.49,2265.48
"2015.06.04",37.5,2227.98
"2015.06.04",55,2172.98
"2015.06.04",5.5,2167.48
"2015.06.04",5.49,2161.99
"2015.06.04",80,2081.99
"2015.06.06",10,2071.99
"2015.06.06",13.41,2058.58
"2015.06.07",131.09,1927.49
"2015.06.08",5.5,1921.99
"2015.06.08",6.99,1915
"2015.06.09",5.5,1909.5
"2015.06.09",6.99,1902.51
"2015.06.10",5.5,1897.01
"2015.06.10",5.49,1891.52
"2015.06.11",5.5,1886.02
"2015.06.11",6.99,1879.03
"2015.06.12",5.5,1873.53
"2015.06.12",5.2,1868.33
"2015.06.13",689,1179.33
"2015.06.13",5.99,1173.34
"2015.06.13",15.88,1157.46
"2015.06.13",20.99,1136.47
"2015.06.13",55.99,1080.48
"2015.06.14",122.22,958.26
"2015.06.14",12.43,945.83
"2015.06.15",5.5,940.33
"2015.06.15",4.99,935.34
"2015.06.15",12.12,923.22
"2015.06.16",5.5,917.72
"2015.06.16",4.99,912.73
"2015.06.17",5.5,907.23
"2015.06.17",4.99,902.24
"2015.06.18",5.5,896.74
"2015.06.18",4.99,891.75
"2015.06.19",5.5,886.25
"2015.06.19",4.99,881.26
"2015.06.19",9.99,871.27
"2015.06.20",8.99,862.28
"2015.06.20",60.6,801.68
"2015.06.20",30.63,771.05
"2015.06.20",80.25,690.8
"2015.06.21",100,590.8
"2015.06.21",183,407.8
"2015.06.22",98.21,309.59
"2015.06.23",90.42,219.17
"2015.06.25",4.99,214.18
"2015.06.26",5.5,208.68
"2015.06.26",5.49,203.19
"2015.06.26",10,193.19
"2015.06.26",3564,3757.19
"2015.06.27",2.4,3754.79
"2015.06.27",8.99,3745.8
"2015.06.27",12.99,3732.81
"2015.06.27",9.99,3722.82
"2015.06.28",112.78,3610.04
"2015.06.28",2.4,3607.64
"2015.06.28",45.76,3561.88
"2015.06.29",5.5,3556.38
"2015.06.29",5.99,3550.39
"2015.06.30",5.5,3544.89
"2015.06.30",5.99,3538.9
"2015.07.01",5.5,3533.4
"2015.07.01",5.99,3527.41
"2015.07.01",26.66,3500.75
"2015.07.01",850,2650.75
"2015.07.02",5.5,2645.25
"2015.07.02",5.99,2639.26
"2015.07.02",200,2439.26
"2015.07.03",5.5,2433.76
"2015.07.03",5.99,2427.77
"2015.07.03",42,2385.77
"2015.07.03",5,2380.77
"2015.07.03",87.33,2293.44
"2015.07.04",43.26,2250.18
"2015.07.04",55,2195.18
"2015.07.04",5.5,2189.68
"2015.07.04",15,2174.68
"2015.07.05",112.21,2062.47
"2015.07.06",5.5,2056.97
"2015.07.07",5.5,2051.47
"2015.07.07",4.99,2046.48
"2015.07.08",5.5,2040.98
"2015.07.08",5.29,2035.69
"2015.07.08",12.99,2022.7
"2015.07.09",5.5,2017.2
"2015.07.09",5,2012.2
"2015.07.09",12.99,1999.21
"2015.07.10",5.5,1993.71
"2015.07.10",7.75,1985.96
"2015.07.10",120,2105.96
"2015.07.10",92,2013.96
"2015.07.10",5.5,2008.46
"2015.07.12",5.5,2002.96
"2015.07.12",15.87,1987.09
"2015.07.12",112.31,1874.78
"2015.07.13",5.5,1869.28
"2015.07.13",5.5,1863.78
"2015.07.13",114,1749.78
"2015.07.14",5.5,1744.28
"2015.07.14",5.5,1738.78
"2015.07.15",5.5,1733.28
"2015.07.15",5.49,1727.79
"2015.07.16",5.5,1722.29
"2015.07.16",5.49,1716.8
"2015.07.16",3.99,1712.81
"2015.07.16",116.55,1596.26
"2015.07.17",5.5,1590.76
"2015.07.17",3.5,1587.26
"2015.07.17",22.21,1565.05
"2015.07.17",120,1445.05
"2015.07.19",32,1413.05
"2015.07.19",350,1063.05
"2015.07.19",5.3,1057.75
"2015.07.22",98.21,959.54
"2015.07.25",5.3,954.24
"2015.07.26",113.24,841
