@relation Timestamps

@attribute PostDate DATE “yyyy-MM-dd HH:mm:ss”
@attribute TransactionAmount numeric
@attribute Balance numeric


@data
"2015-05-08 00:00:00",5.5,1494.5
"2015-05-08 00:00:00",6.72,1487.78
"2015-05-08 00:00:00",15.62,1472.16
"2015-05-08 00:00:00",15.62,1456.54
"2015-05-09 00:00:00",12.21,1444.33
"2015-05-09 00:00:00",8.42,1435.91
"2015-05-09 00:00:00",39.99,1395.92
"2015-05-09 00:00:00",30,1365.92
"2015-05-09 00:00:00",3.2,1362.72
"2015-05-10 00:00:00",126.93,1235.79
"2015-05-11 00:00:00",5.5,1230.29
"2015-05-11 00:00:00",13.2,1217.09
"2015-05-11 00:00:00",5.52,1211.57
"2015-05-11 00:00:00",21.1,1190.47
"2015-05-11 00:00:00",6.72,1183.75
"2015-05-12 00:00:00",5.5,1178.25
"2015-05-12 00:00:00",6.72,1171.53
"2015-05-13 00:00:00",5.5,1166.03
"2015-05-13 00:00:00",6.72,1159.31
"2015-05-14 00:00:00",5.5,1153.81
"2015-05-14 00:00:00",6.72,1147.09
"2015-05-14 00:00:00",25.32,1121.77
"2015-05-14 00:00:00",19.99,1101.78
"2015-05-15 00:00:00",5.5,1096.28
"2015-05-15 00:00:00",6.72,1089.56
"2015-05-15 00:00:00",10,1079.56
"2015-05-16 00:00:00",52.1,1027.46
"2015-05-16 00:00:00",22.32,1005.14
"2015-05-16 00:00:00",23,982.14
"2015-05-16 00:00:00",17.83,964.31
"2015-05-16 00:00:00",48.22,916.09
"2015-05-17 00:00:00",12.22,903.87
"2015-05-17 00:00:00",135.34,768.53
"2015-05-18 00:00:00",5.5,763.03
"2015-05-19 00:00:00",5.5,757.53
"2015-05-20 00:00:00",5.5,752.03
"2015-05-20 00:00:00",32.1,719.93
"2015-05-20 00:00:00",23.98,695.95
"2015-05-21 00:00:00",8.5,687.45
"2015-05-21 00:00:00",39.99,727.44
"2015-05-22 00:00:00",5.5,721.94
"2015-05-22 00:00:00",98.21,623.73
"2015-05-22 00:00:00",23.21,600.52
"2015-05-22 00:00:00",11.14,589.38
"2015-05-23 00:00:00",12.12,577.26
"2015-05-23 00:00:00",4.43,572.83
"2015-05-23 00:00:00",45.23,527.6
"2015-05-24 00:00:00",112.38,415.22
"2015-05-24 00:00:00",55.88,359.34
"2015-05-25 00:00:00",5.5,353.84
"2015-05-25 00:00:00",5.5,348.34
"2015-05-26 00:00:00",5.5,342.84
"2015-05-26 00:00:00",3.3,339.54
