PostDate	TransactionAmount	TransactionBaseType	Balance
5/8/15	5.5	Debit	1494.50
5/8/15	6.72	Debit	1487.78
5/8/15	15.62	Debit	1472.16
5/8/15	15.62	Debit	1456.54
5/9/15	12.21	Debit	1444.33
5/9/15	8.42	Debit	1435.91
5/9/15	39.99	Debit	1395.92
5/9/15	30	Debit	1365.92
5/9/15	3.2	Debit	1362.72
5/10/15	126.93	Debit	1235.79
5/11/15	5.5	Debit	1230.29
5/11/15	13.2	Debit	1217.09
5/11/15	5.52	Debit	1211.57
5/11/15	21.1	Debit	1190.47
5/11/15	6.72	Debit	1183.75
5/12/15	5.5	Debit	1178.25
5/12/15	6.72	Debit	1171.53
5/13/15	5.5	Debit	1166.03
5/13/15	6.72	Debit	1159.31
5/14/15	5.5	Debit	1153.81
5/14/15	6.72	Debit	1147.09
5/14/15	25.32	Debit	1121.77
5/14/15	19.99	Debit	1101.78
5/15/15	5.5	Debit	1096.28
5/15/15	6.72	Debit	1089.56
5/15/15	10	Debit	1079.56
5/16/15	52.1	Debit	1027.46
5/16/15	22.32	Debit	1005.14
5/16/15	23	Debit	982.14
5/16/15	17.83	Debit	964.31
5/16/15	48.22	Debit	916.09
5/17/15	12.22	Debit	903.87
5/17/15	135.34	Debit	768.53
5/18/15	5.5	Debit	763.03
5/19/15	5.5	Debit	757.53
5/20/15	5.5	Debit	752.03
5/20/15	32.1	Debit	719.93
5/20/15	23.98	Debit	695.95
5/21/15	8.5	Debit	687.45
5/21/15	39.99	Credit	727.44
5/22/15	5.5	Debit	721.94
5/22/15	98.21	Debit	623.73
5/22/15	23.21	Debit	600.52
5/22/15	11.14	Debit	589.38
5/23/15	12.12	Debit	577.26
5/23/15	4.43	Debit	572.83
5/23/15	45.23	Debit	527.6
5/24/15	112.38	Debit	415.22
5/24/15	55.88	Debit	359.34
5/25/15	5.5	Debit	353.84
5/25/15	5.5	Debit	348.34
5/26/15	5.5	Debit	342.84
5/26/15	3.3	Debit	339.54
5/27/15	5.5	Debit	334.04
5/27/15	8.2	Debit	325.84
5/28/15	5.5	Debit	320.34
5/28/15	5.54	Debit	314.8
5/29/15	5.5	Debit	309.3
5/29/15	13.41	Debit	295.89
5/29/15	3.3	Debit	292.59
5/29/15	62.21	Debit	230.38
5/29/15	3564.00	Credit	3794.38
5/30/15	34.99	Debit	3759.39
5/30/15	120	Debit	3639.39
5/31/15	119.72	Debit	3519.67
5/31/15	13.11	Debit	3506.56
5/31/15	2.12	Debit	3504.44
6/1/15	850	Debit	2654.44
6/1/15	26.66	Debit	2627.78
6/1/15	5.5	Debit	2622.28
6/1/15	5.49	Debit	2616.79
6/2/15	200	Debit	2416.79
6/2/15	5.5	Debit	2411.29
6/2/15	5.49	Debit	2405.80
6/3/15	42	Debit	2363.80
6/3/15	87.33	Debit	2276.47
6/3/15	5.5	Debit	2270.97
6/3/15	5.49	Debit	2265.48
6/4/15	37.5	Debit	2227.98
6/4/15	55	Debit	2172.98
6/4/15	5.5	Debit	2167.48
6/4/15	5.49	Debit	2161.99
6/4/15	80	Debit	2081.99
6/6/15	10	Debit	2071.99
6/6/15	13.41	Debit	2058.58
6/7/15	131.09	Debit	1927.49
6/8/15	5.5	Debit	1921.99
6/8/15	6.99	Debit	1915.00
6/9/15	5.5	Debit	1909.50
6/9/15	6.99	Debit	1902.51
6/10/15	5.5	Debit	1897.01
6/10/15	5.49	Debit	1891.52
6/11/15	5.5	Debit	1886.02
6/11/15	6.99	Debit	1879.03
6/12/15	5.5	Debit	1873.53
6/12/15	5.2	Debit	1868.33
6/13/15	689	Debit	1179.33
6/13/15	5.99	Debit	1173.34
6/13/15	15.88	Debit	1157.46
6/13/15	20.99	Debit	1136.47
6/13/15	55.99	Debit	1080.48
6/14/15	122.22	Debit	958.26
6/14/15	12.43	Debit	945.83
6/15/15	5.5	Debit	940.33
6/15/15	4.99	Debit	935.34
6/15/15	12.12	Debit	923.22
6/16/15	5.5	Debit	917.72
6/16/15	4.99	Debit	912.73
6/17/15	5.5	Debit	907.23
6/17/15	4.99	Debit	902.24
6/18/15	5.5	Debit	896.74
6/18/15	4.99	Debit	891.75
6/19/15	5.5	Debit	886.25
6/19/15	4.99	Debit	881.26
6/19/15	9.99	Debit	871.27
6/20/15	8.99	Debit	862.28
6/20/15	60.6	Debit	801.68
6/20/15	30.63	Debit	771.05
